Kommun,CPEV 2022,Trend,Kategori
Ale,0.0079,-0.0094,Botten 50-25%
Alingsås,0.0129,0.0032,Topp 25-50%
Alvesta,0.0272,-0.0074,Botten 50-25%
Aneby,0.102,0.0183,Topp 10%
Arboga,0.1158,-0.1269,Botten 10%
Arjeplog,0.3478,0.058,Topp 10%
Arvidsjaur,0.3953,0.0103,Topp 10-25%
Arvika,0.0452,-0.053,Botten 25-10%
Askersund,0.0517,0.0155,Topp 10%
Avesta,0.0098,-0.0266,Botten 50-25%
Bengtsfors,0.0268,0.0045,Topp 10-25%
Berg,0.3427,-0.1577,Botten 10%
Bjurholm,0.0,-0.0,Topp 25-50%
Bjuv,0.0252,0.0068,Topp 10-25%
Boden,0.02,0.0029,Topp 25-50%
Bollebygd,0.0052,0.0014,Topp 25-50%
Bollnäs,0.0963,0.0086,Topp 10-25%
Borgholm,0.3319,-0.4505,Botten 10%
Borlänge,0.032,-0.0475,Botten 25-10%
Borås,0.0443,0.0026,Topp 25-50%
Botkyrka,0.0039,-0.0061,Botten 50-25%
Boxholm,0.0,-0.0,Topp 25-50%
Bromölla,0.0455,0.0076,Topp 10-25%
Bräcke,0.1111,-0.0221,Botten 50-25%
Burlöv,0.0694,0.0099,Topp 10-25%
Båstad,0.0628,-0.0083,Botten 50-25%
Dals-Ed,0.0118,0.002,Topp 25-50%
Danderyd,0.0196,0.0013,Topp 25-50%
Degerfors,0.0603,0.0117,Topp 10-25%
Dorotea,2.1667,0.1667,Topp 10%
Eda,0.3302,-0.1852,Botten 10%
Ekerö,0.0035,-0.0044,Botten 50-25%
Eksjö,0.024,-0.0251,Botten 50-25%
Emmaboda,0.1029,-0.0243,Botten 50-25%
Enköping,0.0345,-0.0105,Botten 50-25%
Eskilstuna,0.0363,-0.0128,Botten 50-25%
Eslöv,0.0033,-0.0049,Botten 50-25%
Essunga,0.0727,0.0108,Topp 10-25%
Fagersta,0.0156,-0.0474,Botten 25-10%
Falkenberg,0.0851,-0.021,Botten 50-25%
Falköping,0.0191,0.0033,Topp 25-50%
Falun,0.0591,-0.0516,Botten 25-10%
Filipstad,0.1322,-0.0,Topp 25-50%
Finspång,0.0382,0.0078,Topp 10-25%
Flen,0.0251,-0.023,Botten 50-25%
Forshaga,0.0,-0.0,Topp 25-50%
Färgelanda,0.0196,0.0056,Topp 10-25%
Gagnef,0.0163,-0.0522,Botten 25-10%
Gislaved,0.0435,-0.0584,Botten 25-10%
Gnesta,0.0066,0.0011,Topp 25-50%
Gnosjö,0.0161,-0.0419,Botten 25-10%
Gotland,0.1245,-0.1609,Botten 10%
Grums,0.2059,-0.0212,Botten 50-25%
Grästorp,0.0,-0.0,Topp 25-50%
Gullspång,0.0101,0.0027,Topp 25-50%
Gällivare,0.2198,0.0052,Topp 10-25%
Gävle,0.0764,-0.0369,Botten 25-10%
Göteborg,0.0662,0.0041,Topp 10-25%
Götene,0.0,-0.0,Topp 25-50%
Habo,0.0147,0.0044,Topp 10-25%
Hagfors,0.0435,0.0072,Topp 10-25%
Hallsberg,0.0523,0.0168,Topp 10%
Hallstahammar,0.0141,0.0041,Topp 10-25%
Halmstad,0.0539,-0.0227,Botten 50-25%
Hammarö,0.0108,-0.0264,Botten 50-25%
Haninge,0.0114,-0.0046,Botten 50-25%
Haparanda,0.3265,-0.0,Topp 25-50%
Heby,0.0253,0.0064,Topp 10-25%
Hedemora,0.0322,0.0111,Topp 10-25%
Helsingborg,0.115,0.0057,Topp 10-25%
Herrljunga,0.0226,0.0039,Topp 25-50%
Hjo,0.0401,-0.0267,Botten 25-10%
Hofors,0.0,-0.0,Topp 25-50%
Huddinge,0.0192,-0.0066,Botten 50-25%
Hudiksvall,0.0319,-0.0093,Botten 50-25%
Hultsfred,0.0773,-0.0581,Botten 25-10%
Hylte,0.0117,0.0032,Topp 25-50%
Hällefors,0.0759,0.0108,Topp 10-25%
Härjedalen,0.531,-0.3738,Botten 10%
Härnösand,0.1044,-0.0195,Botten 50-25%
Härryda,0.068,-0.0384,Botten 25-10%
Hässleholm,0.0144,-0.0077,Botten 50-25%
Håbo,0.008,-0.0,Topp 25-50%
Höganäs,0.0618,0.0162,Topp 10%
Högsby,0.0794,0.0238,Topp 10%
