"","Antal laddhybrider","Antal elbilar","Antal laddbara fordon","Laddbara fordon/capita","Antal laddpunkter","Antal laddstationer","DC laddstationer","LP/capita","LP/Personbil","Andel av bilbestånd","CPEV"
"ALE","497","815","1367","4.22","9","3","3","0.03","0.06","8.28","0.01"
"ALINGSÅS","797","1147","2019","4.78","26","6","4","0.06","0.13","9.48","0.01"
"ALVESTA","351","406","779","3.85","20","6","0","0.1","0.18","6.78","0.03"
"ANEBY","81","136","220","3.22","84","17","4","1.23","2.12","5.47","0.38"
"ARBOGA","178","203","397","2.82","36","5","4","0.26","0.47","5.0","0.09"
"ARJEPLOG","20","11","35","1.31","8","2","2","0.3","0.46","1.8","0.23"
"ARVIDSJAUR","36","43","88","1.44","19","7","5","0.31","0.51","2.11","0.22"
"ARVIKA","462","386","866","3.35","41","9","3","0.16","0.27","5.58","0.05"
"ASKERSUND","149","176","341","2.97","55","26","1","0.48","0.77","4.57","0.16"
"AVESTA","507","395","951","4.15","35","4","3","0.15","0.26","6.71","0.04"
"BENGTSFORS","100","78","187","2.02","20","8","0","0.22","0.35","3.1","0.11"
"BERG","68","120","195","2.72","82","23","8","1.14","1.83","4.2","0.42"
"BJURHOLM","18","16","34","1.43","4","1","0","0.17","0.29","2.45","0.12"
"BJUV","148","214","387","2.41","8","3","0","0.05","0.09","4.16","0.02"
"BODEN","267","413","708","2.52","64","25","5","0.23","0.39","4.18","0.09"
"BOLLEBYGD","182","265","450","4.64","2","1","0","0.02","0.04","8.32","0.0"
"BOLLNÄS","253","506","807","3.03","57","8","3","0.21","0.37","4.93","0.07"
"BORGHOLM","123","164","303","2.79","81","24","3","0.75","1.21","4.29","0.27"
"BORLÄNGE","1229","1035","2335","4.48","131","18","8","0.25","0.48","8.24","0.06"
"BORÅS","2471","3047","5800","5.07","326","52","10","0.28","0.6","10.08","0.06"
"BOTKYRKA","1183","1324","2549","2.67","18","4","2","0.02","0.06","8.14","0.01"
"BOXHOLM","64","86","161","2.93","14","3","2","0.25","0.43","4.6","0.09"
"BROMÖLLA","165","172","339","2.68","11","4","1","0.09","0.16","4.82","0.03"
"BRÄCKE","40","63","104","1.69","22","7","1","0.36","0.58","2.71","0.21"
"BURLÖV","245","312","568","2.86","52","8","3","0.26","0.62","6.65","0.09"
"BÅSTAD","385","451","849","5.37","114","23","1","0.72","1.23","8.99","0.13"
"DALS-ED","57","55","114","2.45","9","5","0","0.19","0.3","3.78","0.08"
"DANDERYD","3123","2919","6168","18.87","130","19","4","0.4","0.73","34.15","0.02"
"DEGERFORS","98","139","260","2.73","12","5","1","0.13","0.22","4.26","0.05"
"DOROTEA","8","2","10","0.41","9","3","2","0.37","0.57","0.63","0.9"
"EDA","83","48","131","1.53","60","7","5","0.7","1.14","2.49","0.46"
"EKERÖ","711","912","1669","5.73","14","5","1","0.05","0.11","12.54","0.01"
"EKSJÖ","247","270","544","3.05","12","5","0","0.07","0.12","5.13","0.02"
"EMMABODA","87","82","178","1.9","32","6","1","0.34","0.58","3.09","0.18"
"ENKÖPING","939","928","1920","4.01","71","10","4","0.15","0.29","7.74","0.04"
"ESKILSTUNA","2116","1901","4159","3.85","159","32","6","0.15","0.32","8.12","0.04"
"ESLÖV","487","693","1223","3.52","23","8","1","0.07","0.13","6.8","0.02"
"ESSUNGA","44","74","124","2.17","8","3","0","0.14","0.22","3.29","0.06"
"FAGERSTA","234","189","427","3.2","15","5","2","0.11","0.21","6.0","0.04"
"FALKENBERG","739","1026","1848","3.93","346","40","9","0.74","1.33","6.81","0.19"
"FALKÖPING","428","609","1062","3.19","26","9","2","0.08","0.14","5.71","0.02"
"FALUN","1345","1237","2659","4.45","115","24","8","0.19","0.36","8.15","0.04"
"FILIPSTAD","77","73","156","1.51","16","4","2","0.16","0.27","2.55","0.1"
"FINSPÅNG","250","310","572","2.61","23","11","2","0.11","0.2","4.77","0.04"
"FLEN","192","194","425","2.65","9","3","1","0.06","0.11","4.53","0.02"
"FORSHAGA","98","174","285","2.46","2","1","0","0.02","0.03","4.16","0.01"
"FÄRGELANDA","56","63","119","1.83","16","6","0","0.25","0.4","2.99","0.13"
"GAGNEF","142","179","329","3.13","9","4","1","0.09","0.13","4.76","0.03"
"GISLAVED","567","749","1363","4.62","114","20","3","0.39","0.68","7.87","0.08"
"GNESTA","137","217","388","3.34","26","6","3","0.22","0.45","6.13","0.07"
"GNOSJÖ","229","323","579","6.13","17","7","2","0.18","0.31","10.06","0.03"
"GOTLAND","773","1071","1962","3.21","403","105","11","0.66","1.1","5.03","0.21"
"GRUMS","107","118","229","2.52","28","9","6","0.31","0.53","4.23","0.12"
"GRÄSTORP","61","133","209","3.7","4","2","0","0.07","0.11","5.45","0.02"
"GULLSPÅNG","59","55","114","2.19","8","1","0","0.15","0.26","3.64","0.07"
"GÄLLIVARE","217","172","410","2.35","62","7","5","0.36","0.57","3.57","0.15"
"GÄVLE","1890","1962","4038","3.9","312","48","13","0.3","0.65","8.08","0.08"
"GÖTEBORG","15611","15937","32994","5.53","4800","275","29","0.8","2.48","16.29","0.15"
"GÖTENE","212","293","529","3.98","0","0","0","0.0","0.0","6.16","0.0"
"HABO","193","438","646","4.92","18","6","0","0.14","0.27","9.41","0.03"
"HAGFORS","102","96","207","1.79","18","3","1","0.16","0.25","2.72","0.09"
"HALLSBERG","192","192","397","2.44","16","6","0","0.1","0.18","4.25","0.04"
"HALLSTAHAMMAR","245","217","475","2.84","6","1","1","0.04","0.07","5.22","0.01"
"HALMSTAD","2012","2560","4736","4.5","418","64","16","0.4","0.81","8.84","0.09"
"HAMMARÖ","470","464","947","5.63","16","5","2","0.1","0.18","10.37","0.02"
"HANINGE","1731","1653","3479","3.56","74","15","2","0.08","0.22","9.88","0.02"
"HAPARANDA","79","71","150","1.61","45","6","1","0.48","0.82","2.73","0.3"
"HEBY","136","170","312","2.16","15","8","0","0.1","0.19","3.87","0.05"
"HEDEMORA","214","205","431","2.79","26","8","3","0.17","0.27","4.4","0.06"
"HELSINGBORG","3337","3738","7304","4.84","736","67","8","0.49","1.12","10.75","0.1"
"HERRLJUNGA","149","151","318","3.34","11","4","1","0.12","0.2","5.5","0.03"
"HJO","138","219","391","4.23","12","4","0","0.13","0.23","6.73","0.03"
"HOFORS","87","86","181","1.91","7","1","1","0.07","0.13","3.12","0.04"
"HUDDINGE","2407","2323","4852","4.24","180","22","7","0.16","0.46","12.04","0.04"
"HUDIKSVALL","651","757","1497","3.97","53","11","6","0.14","0.25","6.52","0.04"
"HULTSFRED","119","160","284","2.02","53","20","2","0.38","0.67","3.51","0.19"
"HYLTE","116","179","306","2.92","18","4","1","0.17","0.31","5.03","0.06"
"HÅBO","806","1101","1945","8.54","15","3","1","0.07","0.14","17.28","0.01"
"HÄLLEFORS","68","36","108","1.62","6","2","1","0.09","0.17","2.87","0.06"
"HÄRJEDALEN","89","107","210","2.06","111","22","11","1.09","1.7","3.0","0.53"
"HÄRNÖSAND","368","389","780","3.14","65","21","2","0.26","0.5","5.85","0.08"
"HÄRRYDA","875","1314","2242","5.64","280","27","5","0.7","1.55","12.09","0.12"
"HÄSSLEHOLM","829","768","1639","3.13","86","16","2","0.16","0.3","5.64","0.05"
"HÖGANÄS","482","757","1264","4.5","70","26","3","0.25","0.48","8.51","0.06"
"HÖGSBY","31","45","79","1.41","8","3","2","0.14","0.24","2.31","0.1"
"HÖRBY","249","252","515","3.28","7","3","1","0.04","0.08","5.51","0.01"
"HÖÖR","233","332","588","3.4","8","2","0","0.05","0.09","6.16","0.01"
"JOKKMOKK","28","37","69","1.45","27","11","4","0.57","0.94","2.26","0.39"
"JÄRFÄLLA","1988","1646","3710","4.34","69","16","4","0.08","0.23","12.19","0.02"
"JÖNKÖPING","3241","4062","7652","5.27","225","47","13","0.16","0.33","10.58","0.03"
"KALIX","141","291","439","2.79","24","6","2","0.15","0.26","4.59","0.05"
"KALMAR","1396","1580","3239","4.5","201","36","13","0.28","0.56","8.36","0.06"
"KARLSBORG","106","104","219","3.1","12","6","0","0.17","0.29","5.0","0.05"
"KARLSHAMN","580","528","1150","3.57","238","50","4","0.74","1.35","6.29","0.21"
"KARLSKOGA","481","534","1057","3.49","22","5","4","0.07","0.14","6.25","0.02"
"KARLSKRONA","1226","1307","2575","3.86","116","24","7","0.17","0.34","7.36","0.05"
"KARLSTAD","2083","2249","4555","4.72","252","42","12","0.26","0.55","9.52","0.06"
"KATRINEHOLM","624","537","1251","3.62","46","10","2","0.13","0.27","6.83","0.04"
"KIL","147","156","312","2.58","8","2","1","0.07","0.11","4.26","0.03"
"KINDA","150","221","381","3.78","10","3","2","0.1","0.17","6.4","0.03"
"KIRUNA","262","180","463","2.06","33","11","7","0.15","0.24","3.26","0.07"
"KLIPPAN","197","251","467","2.61","16","4","0","0.09","0.15","4.3","0.03"
"KNIVSTA","425","720","1187","5.9","25","4","1","0.12","0.28","12.8","0.02"
"KRAMFORS","368","254","638","3.56","62","22","5","0.35","0.58","5.84","0.1"
"KRISTIANSTAD","1528","2081","3681","4.24","255","44","8","0.29","0.58","8.19","0.07"
"KRISTINEHAMN","365","438","833","3.46","49","11","3","0.2","0.38","6.15","0.06"
"KROKOM","135","278","439","2.83","67","19","7","0.43","0.73","4.49","0.15"
"KUMLA","356","407","777","3.46","17","5","0","0.08","0.15","6.52","0.02"
"KUNGSBACKA","2440","3923","6597","7.69","291","54","4","0.34","0.65","14.28","0.04"
"KUNGSÖR","125","125","255","2.91","12","2","2","0.14","0.24","5.06","0.05"
"KUNGÄLV","1005","1632","2796","5.7","176","37","4","0.36","0.72","10.8","0.06"
"KÄVLINGE","609","1226","1858","5.72","57","11","4","0.18","0.33","10.68","0.03"
"KÖPING","406","345","780","2.99","69","14","5","0.26","0.5","5.39","0.09"
"LAHOLM","390","628","1049","3.95","68","13","4","0.26","0.42","6.35","0.06"
"LANDSKRONA","512","842","1420","3.02","70","15","6","0.15","0.35","6.76","0.05"
"LAXÅ","59","106","172","3.08","12","3","3","0.22","0.35","4.77","0.07"
"LEKEBERG","113","187","319","3.64","15","3","2","0.17","0.31","6.11","0.05"
"LEKSAND","236","274","517","3.21","71","25","3","0.44","0.73","5.21","0.14"
"LERUM","888","1568","2500","5.74","87","23","1","0.2","0.42","11.88","0.03"
"LESSEBO","97","129","239","2.82","13","5","1","0.15","0.31","5.33","0.05"
"LIDINGÖ","1458","1428","2942","6.07","18","7","1","0.04","0.1","15.85","0.01"
"LIDKÖPING","1019","1367","2515","6.22","82","12","4","0.2","0.36","10.52","0.03"
"LILLA EDET","239","382","649","4.5","15","3","1","0.1","0.19","7.75","0.02"
"LINDESBERG","357","297","675","2.88","23","6","1","0.1","0.17","4.9","0.03"
"LINKÖPING","4169","4292","8750","5.25","659","81","19","0.4","0.94","12.1","0.08"
"LJUNGBY","481","523","1057","3.71","102","21","10","0.36","0.62","6.09","0.1"
"LJUSDAL","231","207","490","2.61","62","13","9","0.33","0.56","3.98","0.13"
"LJUSNARSBERG","46","31","78","1.73","9","4","0","0.2","0.33","2.8","0.12"
"LOMMA","566","927","1506","6.09","31","5","2","0.13","0.25","12.07","0.02"
"LUDVIKA","411","367","798","3.03","63","17","4","0.24","0.43","5.37","0.08"
"LULEÅ","1566","1747","3443","4.34","97","26","9","0.12","0.24","8.29","0.03"
"LUND","8953","7787","17216","13.41","707","59","7","0.55","1.08","25.63","0.04"
"LYCKSELE","83","99","196","1.6","41","11","5","0.33","0.57","2.55","0.21"
"LYSEKIL","357","394","809","5.71","48","14","0","0.34","0.61","9.47","0.06"
"MALMÖ","9172","9711","19567","5.48","1013","133","15","0.28","0.82","15.28","0.05"
"MALUNG-SÄLEN","224","184","429","4.18","187","38","7","1.82","2.67","5.83","0.44"
