		2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018		3. Är det styrande partiet eller koalitionen av partier i majoritet?	4. Från vilket parti kommer kommun-/landstings-/regionstyrelsens ordförande?		5. Vad heter kommun-/ landstings-/regionstyrelsens tillträdande ordförande?	Kön KSO		6. Från vilket parti kommer kommun-/landstings-/regionfullmäktiges ordförande?		7. Vad heter KFO?	Kön KFO	Är det något angående er kommuns/landstings/regions styrelse eller fullmäktige som bör kommenteras eller förklaras gör det gärna här.	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	
		1=M	2=C	3=L	4=KD	5=S	6=V	7=MP	8=SD	9=Annat parti, ange vilket eller vilka	Annat parti, ange vilket eller vilka	Styre	Kategori	Detaljer/Ändring styre	1=Ja, i majoritet|2=Nej, i minoritet	1=M|2=C|3=L|4=KD|5=S|6=V|7=MP|8=SD|9=Lokalt parti, ange vilket	Lokalt parti, ange vilket				1=M|2=C|3=L|4=KD|5=S|6=V|7=MP|8=SD|9=Annat parti, ange vilket	Annat parti, ange vilket				1=M	2=C	3=L	4=KD	5=S	6=V	7=MP	8=SD	9=Annat parti, ange vilket eller vilka	Annat parti, ange vilket eller vilka	Styre	Kategori
Upplands Väsby kommun	114	M	C	L	KD					ÖP	Väsbys Bästa (VB)	M,C,L,KD,,,,,ÖP,	B		Minoritet	M		Oskar Weinmar	M		M		Christine Hanefalk	K						S	V	MP		ÖP	Väsbys Bästa (VB)	,,,,S,V,MP,,ÖP,	V
Vallentuna kommun	115	M	C	L	KD							M,C,L,KD,,,,,,	B		Majoritet	M		Parisa Liljestrand	K		M		Ray Idermark	M		M	C	L	KD							M,C,L,KD,,,,,,	B
Österåkers kommun	117	M	C	L	KD							M,C,L,KD,,,,,,	B		Majoritet	M		Michaela Fletcher	K		M		Ingela Gardner	K		M	C	L	KD					ÖP	Österåkerspartiet	M,C,L,KD,,,,,ÖP,	B
Värmdö kommun	120	M	C	L	KD			MP				M,C,L,KD, ,,MP,,,	B		Majoritet	M		Deshira Flankör	K		M		Lars-Erik Alversjö	M		M	C	L	KD							M,C,L,KD,,,,,,	B
Järfälla kommun	123	M	C	L	KD							M,C,L,KD,,,,,,	B		Minoritet	M		Emma Feldman	K		M		Monika Hallstensson	K			C			S		MP				,C,,,S,,MP,,,	BL
Ekerö kommun	125	M	C		KD							M,C,,KD,,,,,,	B		Minoritet	M		Adam Reuterskiöld	M		M		Peter Carpelan	M		M	C		KD							M,C,,KD,,,,,,	B
Huddinge kommun	126	M	C	L	KD					ÖP	Drevvikenpartiet och Huddingepartiet	M,C,L,KD,,,,,ÖP,	B		Minoritet	M		Daniel Dronjak	M		M		Erik Ottoson	M		M	C	L	KD					ÖP	Drevvikenpartiet och Huddingepartiet	M,C,L,KD,,,,,ÖP,	B
Botkyrka kommun	127		C	L	KD	S		MP				,C,L,KD,S,,MP,,,	BL		Majoritet	S		Ebba Östlin	K		S		Marcus Ekman	M						S	V	MP				,,,,S,V,MP,,,	V
Salems kommun	128	M	C	L	KD							M,C,L,KD,,,,,,	B		Majoritet	M		Lennart Kalderén	M		M		Olle Glimvik	M		M	C	L	KD							M,C,L,KD,,,,,,	B
